snr,accuracy
-20,0.329
-18,0.309
-16,0.32
-14,0.317
-12,0.303
-10,0.276
-8,0.283
-6,0.324
-4,0.4
-2,0.572
0,0.76
2,0.834
4,0.881
6,0.888
8,0.902
10,0.909
12,0.927
14,0.904
16,0.905
18,0.904
