model,test_loss,test_accuracy,mean_snr_accuracy,peak_snr_accuracy,peak_snr_db
normal_attention,1.156070590019226,0.6123499870300293,0.61235,0.927,12
diff_attention,1.0371965169906616,0.5733500123023987,0.5733500000000001,0.797,10
