,BPSK,QPSK,8PSK,QAM16,QAM64
BPSK,-0.009500000000000175,0.0695,0.05675000000000001,-0.05025,-0.0665
QPSK,-0.005250000000000001,0.14849999999999997,0.11325,-0.13625,-0.12025000000000001
8PSK,-0.013000000000000005,0.0905,0.17699999999999994,-0.13,-0.1245
QAM16,-0.006000000000000002,0.13724999999999998,0.12475000000000001,-0.11924999999999997,-0.13675000000000004
QAM64,-0.0049999999999999975,0.1275,0.1335,-0.11499999999999999,-0.14100000000000001
