,BPSK,QPSK,8PSK,QAM16,QAM64
BPSK,0.7784999999999999,0.09975,0.085,0.02675,0.01
QPSK,0.0285,0.7075,0.1955,0.0515,0.017
8PSK,0.022,0.14625,0.77025,0.0325,0.029
QAM16,0.0285,0.17525,0.19675,0.51075,0.08874999999999998
QAM64,0.031,0.172,0.1935,0.253,0.3505
