snr,accuracy
-20,0.31910569105691056
-18,0.298989898989899
-16,0.2944015444015444
-14,0.3312820512820513
-12,0.3094302554027505
-10,0.29006882989183874
-8,0.30128205128205127
-6,0.32037815126050423
-4,0.4446786090621707
-2,0.6267326732673267
0,0.7237798546209762
2,0.7775590551181102
4,0.7786483839373164
6,0.7941176470588235
8,0.788135593220339
10,0.7833859095688749
12,0.7964601769911505
14,0.8039800995024876
16,0.7752161383285303
18,0.7685631629701061
