snr,accuracy
-20,0.253
-18,0.213
-16,0.228
-14,0.237
-12,0.216
-10,0.217
-8,0.23
-6,0.246
-4,0.35
-2,0.457
0,0.569
2,0.645
4,0.695
6,0.748
8,0.781
10,0.777
12,0.807
14,0.778
16,0.801
18,0.8
