snr,accuracy
-20,0.324
-18,0.36
-16,0.325
-14,0.339
-12,0.331
-10,0.304
-8,0.321
-6,0.32
-4,0.411
-2,0.621
0,0.721
2,0.769
4,0.781
6,0.792
8,0.792
10,0.797
12,0.788
14,0.784
16,0.79
18,0.797
