snr,accuracy
-20,0.33
-18,0.324
-16,0.33
-14,0.304
-12,0.286
-10,0.306
-8,0.289
-6,0.306
-4,0.454
-2,0.627
0,0.753
2,0.806
4,0.836
6,0.858
8,0.847
10,0.849
12,0.879
14,0.844
16,0.865
18,0.868
