snr,accuracy
-20,0.344
-18,0.332
-16,0.334
-14,0.323
-12,0.326
-10,0.331
-8,0.31
-6,0.339
-4,0.436
-2,0.59
0,0.732
2,0.809
4,0.843
6,0.863
8,0.881
10,0.884
12,0.884
14,0.851
16,0.862
18,0.872
