6.372499999999999831e-01,1.450000000000000074e-02,8.500000000000000611e-02,2.000000000000000042e-02,2.475000000000000117e-02,1.175000000000000003e-02,3.649999999999999772e-02,4.250000000000000305e-02,6.250000000000000000e-02,5.874999999999999667e-02,6.499999999999999702e-03
7.500000000000000156e-04,8.519999999999999796e-01,5.250000000000000326e-03,7.500000000000000156e-04,0.000000000000000000e+00,3.000000000000000062e-03,7.500000000000000156e-04,5.000000000000000104e-04,2.000000000000000042e-03,2.500000000000000052e-04,1.347500000000000087e-01
7.000000000000000146e-03,1.000000000000000021e-03,9.795000000000000373e-01,7.500000000000000156e-04,1.000000000000000021e-03,0.000000000000000000e+00,2.500000000000000052e-03,3.749999999999999861e-03,2.500000000000000052e-03,2.000000000000000042e-03,0.000000000000000000e+00
3.950000000000000039e-02,1.450000000000000074e-02,4.624999999999999944e-02,6.437500000000000444e-01,8.225000000000000366e-02,5.374999999999999917e-02,5.224999999999999784e-02,1.949999999999999997e-02,1.799999999999999864e-02,1.700000000000000122e-02,1.324999999999999963e-02
4.499999999999999833e-02,8.000000000000000167e-03,4.649999999999999967e-02,4.574999999999999900e-02,6.824999999999999956e-01,7.224999999999999478e-02,1.924999999999999975e-02,2.624999999999999903e-02,1.975000000000000019e-02,1.874999999999999931e-02,1.600000000000000033e-02
2.649999999999999925e-02,2.624999999999999903e-02,3.500000000000000333e-02,3.175000000000000044e-02,7.449999999999999678e-02,7.077499999999999902e-01,1.799999999999999864e-02,1.600000000000000033e-02,1.675000000000000100e-02,1.349999999999999985e-02,3.400000000000000244e-02
6.124999999999999889e-02,1.725000000000000144e-02,7.399999999999999634e-02,4.750000000000000056e-02,1.625000000000000056e-02,1.499999999999999944e-02,6.587499999999999467e-01,3.074999999999999956e-02,4.075000000000000150e-02,2.549999999999999836e-02,1.299999999999999940e-02
1.022499999999999937e-01,1.725000000000000144e-02,8.774999999999999467e-02,2.249999999999999917e-02,2.450000000000000094e-02,1.450000000000000074e-02,3.899999999999999994e-02,4.465000000000000080e-01,1.902500000000000024e-01,4.700000000000000011e-02,8.500000000000000611e-03
1.005000000000000060e-01,1.524999999999999967e-02,9.750000000000000333e-02,2.199999999999999872e-02,2.149999999999999828e-02,1.149999999999999981e-02,3.749999999999999861e-02,2.494999999999999996e-01,3.907499999999999862e-01,4.250000000000000305e-02,1.149999999999999981e-02
1.112500000000000017e-01,1.200000000000000025e-02,8.749999999999999445e-02,1.975000000000000019e-02,3.500000000000000333e-02,1.450000000000000074e-02,3.524999999999999661e-02,5.075000000000000344e-02,5.924999999999999711e-02,5.597499999999999698e-01,1.499999999999999944e-02
2.249999999999999830e-03,4.590000000000000191e-01,1.250000000000000069e-02,2.249999999999999830e-03,6.250000000000000347e-03,1.725000000000000144e-02,3.500000000000000073e-03,2.500000000000000052e-03,1.250000000000000026e-03,1.750000000000000036e-03,4.914999999999999925e-01
