6.147500000000000187e-01,6.499999999999999702e-03,1.049999999999999961e-01,2.324999999999999983e-02,2.400000000000000050e-02,1.474999999999999922e-02,6.475000000000000200e-02,5.550000000000000072e-02,2.000000000000000042e-02,6.925000000000000600e-02,2.249999999999999830e-03
0.000000000000000000e+00,8.727500000000000258e-01,1.924999999999999975e-02,1.000000000000000021e-03,2.500000000000000052e-04,3.249999999999999851e-03,1.250000000000000026e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.022499999999999937e-01
3.500000000000000073e-03,3.249999999999999851e-03,9.749999999999999778e-01,1.750000000000000036e-03,5.000000000000000104e-04,2.249999999999999830e-03,8.250000000000000389e-03,0.000000000000000000e+00,5.000000000000000104e-04,3.000000000000000062e-03,2.000000000000000042e-03
2.350000000000000006e-02,6.749999999999999924e-03,6.575000000000000289e-02,6.752500000000000169e-01,4.700000000000000011e-02,5.449999999999999983e-02,7.799999999999999989e-02,8.250000000000000389e-03,8.750000000000000833e-03,2.249999999999999917e-02,9.749999999999999986e-03
3.975000000000000061e-02,5.000000000000000104e-03,5.274999999999999828e-02,7.374999999999999611e-02,6.474999999999999645e-01,8.150000000000000300e-02,3.275000000000000133e-02,1.899999999999999953e-02,8.250000000000000389e-03,2.875000000000000125e-02,1.099999999999999936e-02
2.224999999999999895e-02,1.575000000000000011e-02,4.725000000000000033e-02,6.550000000000000266e-02,5.324999999999999872e-02,7.049999999999999600e-01,2.724999999999999992e-02,6.000000000000000125e-03,7.000000000000000146e-03,1.725000000000000144e-02,3.350000000000000200e-02
4.324999999999999678e-02,1.074999999999999914e-02,9.299999999999999933e-02,5.249999999999999806e-02,1.050000000000000065e-02,1.575000000000000011e-02,7.082500000000000462e-01,1.074999999999999914e-02,2.000000000000000042e-02,2.775000000000000036e-02,7.499999999999999722e-03
9.400000000000000022e-02,6.250000000000000347e-03,1.027499999999999941e-01,2.574999999999999858e-02,2.100000000000000130e-02,1.700000000000000122e-02,6.199999999999999956e-02,2.327500000000000124e-01,3.679999999999999938e-01,6.275000000000000022e-02,7.749999999999999944e-03
9.249999999999999889e-02,7.499999999999999722e-03,1.042499999999999954e-01,2.574999999999999858e-02,1.849999999999999908e-02,1.524999999999999967e-02,6.550000000000000266e-02,2.207500000000000018e-01,3.905000000000000138e-01,5.424999999999999961e-02,5.250000000000000326e-03
9.349999999999999978e-02,8.999999999999999320e-03,1.079999999999999988e-01,2.500000000000000139e-02,2.475000000000000117e-02,1.650000000000000078e-02,6.275000000000000022e-02,4.324999999999999678e-02,2.425000000000000072e-02,5.842500000000000471e-01,8.750000000000000833e-03
2.500000000000000052e-04,4.540000000000000147e-01,2.699999999999999969e-02,2.749999999999999840e-03,1.250000000000000026e-03,1.124999999999999958e-02,5.000000000000000104e-04,0.000000000000000000e+00,5.000000000000000104e-04,1.000000000000000021e-03,5.014999999999999458e-01
