snr,accuracy
-20,0.33
-18,0.321
-16,0.333
-14,0.337
-12,0.315
-10,0.294
-8,0.291
-6,0.337
-4,0.45
-2,0.591
0,0.726
2,0.781
4,0.798
6,0.787
8,0.81
10,0.813
12,0.804
14,0.796
16,0.804
18,0.803
