epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.20454999804496765,0.0005000000237487257,2.6967382431030273,0.18815000355243683,2.2737817764282227
1,0.249916672706604,0.0005000000237487257,2.2100443840026855,0.3192000091075897,1.9513319730758667
2,0.33346667885780334,0.0005000000237487257,1.9080195426940918,0.3797999918460846,1.7673767805099487
3,0.42625001072883606,0.0005000000237487257,1.6331233978271484,0.4690999984741211,1.5309017896652222
4,0.46451666951179504,0.0005000000237487257,1.471276044845581,0.49015000462532043,1.3758013248443604
5,0.5,0.0005000000237487257,1.343282699584961,0.5101500153541565,1.2598484754562378
6,0.5118666887283325,0.0005000000237487257,1.25151789188385,0.515250027179718,1.2041468620300293
7,0.5201333165168762,0.0005000000237487257,1.1907811164855957,0.5260499715805054,1.1576828956604004
8,0.525600016117096,0.0005000000237487257,1.1451473236083984,0.5292500257492065,1.1217987537384033
9,0.527233362197876,0.0005000000237487257,1.1090883016586304,0.527649998664856,1.1097900867462158
10,0.5320500135421753,0.0005000000237487257,1.0838204622268677,0.5350000262260437,1.0735474824905396
11,0.5356500148773193,0.0005000000237487257,1.0594288110733032,0.5360000133514404,1.0595194101333618
12,0.5375499725341797,0.0005000000237487257,1.0401700735092163,0.5347499847412109,1.0427271127700806
13,0.541183352470398,0.0005000000237487257,1.0234661102294922,0.5290499925613403,1.0283085107803345
14,0.5430499911308289,0.0005000000237487257,1.009516716003418,0.5322999954223633,1.0135023593902588
15,0.5450999736785889,0.0005000000237487257,0.9960793852806091,0.5320500135421753,1.0076009035110474
16,0.5480833053588867,0.0005000000237487257,0.985710084438324,0.5399500131607056,0.9985918998718262
17,0.5508333444595337,0.0005000000237487257,0.9783655405044556,0.5407999753952026,0.9891515374183655
18,0.5541666746139526,0.0005000000237487257,0.9669367671012878,0.541949987411499,0.9860337972640991
19,0.560783326625824,0.0005000000237487257,0.9559204578399658,0.5435500144958496,0.9793239235877991
20,0.56086665391922,0.0005000000237487257,0.9450985193252563,0.5482500195503235,0.9681271314620972
21,0.5662999749183655,0.0005000000237487257,0.9353582262992859,0.5508000254631042,0.9610224366188049
22,0.5699499845504761,0.0005000000237487257,0.9279269576072693,0.5521000027656555,0.9536656141281128
23,0.5734999775886536,0.0005000000237487257,0.9207415580749512,0.5545499920845032,0.9477121829986572
24,0.5740000009536743,0.0005000000237487257,0.9101313352584839,0.5558500289916992,0.946617066860199
25,0.5773000121116638,0.0005000000237487257,0.9014480113983154,0.5593000054359436,0.9430725574493408
26,0.5804333090782166,0.0005000000237487257,0.8931743502616882,0.5616999864578247,0.9345718622207642
27,0.580133318901062,0.0005000000237487257,0.887850821018219,0.5590000152587891,0.9433823227882385
28,0.5839999914169312,0.0005000000237487257,0.8786937594413757,0.5588499903678894,0.9332222938537598
29,0.5896666646003723,0.0005000000237487257,0.8695881366729736,0.5654500126838684,0.928088366985321
30,0.5895666480064392,0.0005000000237487257,0.8668497800827026,0.5652499794960022,0.9221934676170349
31,0.5918499827384949,0.0005000000237487257,0.8634200692176819,0.5626999735832214,0.9261674880981445
32,0.5978166460990906,0.0005000000237487257,0.8539686799049377,0.5640000104904175,0.9227157235145569
33,0.5981500148773193,0.0005000000237487257,0.8519772291183472,0.5623499751091003,0.9248421788215637
34,0.5977833271026611,0.0005000000237487257,0.8494026064872742,0.5638499855995178,0.9271029233932495
35,0.6008666753768921,0.0005000000237487257,0.8452032804489136,0.5686500072479248,0.9242986440658569
