snr,acc_baseline,acc_attention,delta
-6,0.21014492753623187,0.2981366459627329,0.08799171842650105
-4,0.17479674796747968,0.39227642276422764,0.21747967479674796
-2,0.204,0.532,0.32800000000000007
0,0.19900990099009902,0.6821782178217822,0.4831683168316832
2,0.2201195219123506,0.7808764940239044,0.5607569721115537
4,0.21194029850746268,0.8149253731343283,0.6029850746268657
6,0.19204655674102813,0.8322017458777885,0.6401551891367604
