snr,accuracy
-20,0.322
-18,0.314
-16,0.318
-14,0.31
-12,0.313
-10,0.306
-8,0.292
-6,0.275
-4,0.322
-2,0.428
0,0.535
2,0.625
4,0.693
6,0.73
8,0.765
10,0.765
12,0.771
14,0.746
16,0.783
18,0.778
