epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.2768906354904175,0.0010000000474974513,1.7130378484725952,0.3343749940395355,1.4882891178131104
1,0.3161875009536743,0.0010000000474974513,1.5335721969604492,0.3501250147819519,1.4185949563980103
2,0.37309375405311584,0.0010000000474974513,1.3818402290344238,0.3973749876022339,1.2738107442855835
3,0.433531254529953,0.0010000000474974513,1.233751654624939,0.47450000047683716,1.1809484958648682
4,0.46837499737739563,0.0010000000474974513,1.167134165763855,0.4846875071525574,1.1103014945983887
5,0.4891406297683716,0.0010000000474974513,1.1092935800552368,0.4962500035762787,1.0846346616744995
6,0.5073124766349792,0.0010000000474974513,1.0526105165481567,0.5041249990463257,1.0547517538070679
7,0.5109062790870667,0.0010000000474974513,1.0281498432159424,0.5039374828338623,1.0416632890701294
8,0.5173906087875366,0.0010000000474974513,1.0111693143844604,0.5200625061988831,0.9811580181121826
9,0.5176406502723694,0.0010000000474974513,0.9956621527671814,0.5196874737739563,1.001892328262329
10,0.5224843621253967,0.0010000000474974513,0.9917421936988831,0.5273125171661377,0.965629518032074
11,0.5237030982971191,0.0010000000474974513,0.9798082113265991,0.5293124914169312,0.9608106017112732
12,0.5288281440734863,0.0010000000474974513,0.9657621383666992,0.5259374976158142,0.9580180048942566
13,0.5314375162124634,0.0010000000474974513,0.9632152915000916,0.5393750071525574,0.9488493204116821
14,0.5308125019073486,0.0010000000474974513,0.9589855074882507,0.5363125205039978,0.9461447596549988
15,0.5313593745231628,0.0010000000474974513,0.9573451280593872,0.5321875214576721,0.9535225629806519
16,0.5352968573570251,0.0010000000474974513,0.9524003863334656,0.5351874828338623,0.943503737449646
17,0.5331718921661377,0.0010000000474974513,0.9493688344955444,0.5326874852180481,0.958354651927948
18,0.5349218845367432,0.0010000000474974513,0.9437635540962219,0.5398125052452087,0.9417266845703125
19,0.5390625,0.0010000000474974513,0.9410570859909058,0.5373125076293945,0.9387708902359009
