snr,accuracy
-20,0.20772727272727273
-18,0.2540909090909091
-16,0.2990909090909091
-14,0.3281818181818182
-12,0.3518181818181818
-10,0.36318181818181816
-8,0.3927272727272727
-6,0.4781818181818182
-4,0.6104545454545455
-2,0.7331818181818182
0,0.8259090909090909
2,0.8381818181818181
4,0.8531818181818182
6,0.8586363636363636
8,0.8545454545454545
10,0.86
12,0.8618181818181818
14,0.8745454545454545
16,0.8595454545454545
18,0.8540909090909091
