snr,acc_baseline,acc_attention,delta
-6,0.30434781312942505,0.2981366515159607,-0.0062111616134643555
-4,0.43394309282302856,0.4298780560493469,-0.004065036773681641
-2,0.6079999804496765,0.5699999928474426,-0.03799998760223389
0,0.7148514986038208,0.698019802570343,-0.016831696033477783
2,0.7898406386375427,0.7599601745605469,-0.02988046407699585
4,0.7771144509315491,0.7611940503120422,-0.015920400619506836
6,0.8021338582038879,0.7827352285385132,-0.019398629665374756
