snr,accuracy
-20,0.343
-18,0.342
-16,0.343
-14,0.332
-12,0.296
-10,0.298
-8,0.295
-6,0.303
-4,0.453
-2,0.616
0,0.755
2,0.83
4,0.85
6,0.854
8,0.869
10,0.892
12,0.882
14,0.864
16,0.869
18,0.89
