epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.21004687249660492,0.0005000000237487257,2.653414487838745,0.19712500274181366,2.2518301010131836
1,0.2797812521457672,0.0005000000237487257,2.1364176273345947,0.3451249897480011,1.8920762538909912
2,0.38065624237060547,0.0005000000237487257,1.8135085105895996,0.4595000147819519,1.6032830476760864
3,0.4538593888282776,0.0005000000237487257,1.5579928159713745,0.48506250977516174,1.4718266725540161
4,0.4912031292915344,0.0005000000237487257,1.4040254354476929,0.5042499899864197,1.3183300495147705
5,0.5113593935966492,0.0005000000237487257,1.293565273284912,0.5171874761581421,1.2309627532958984
6,0.5201406478881836,0.0005000000237487257,1.2164589166641235,0.5211874842643738,1.1788544654846191
7,0.5263124704360962,0.0005000000237487257,1.1629538536071777,0.5269374847412109,1.1341776847839355
8,0.5300312638282776,0.0005000000237487257,1.1213055849075317,0.528124988079071,1.1094874143600464
9,0.5335624814033508,0.0005000000237487257,1.088683843612671,0.5269374847412109,1.0888222455978394
10,0.5360000133514404,0.0005000000237487257,1.0628087520599365,0.5341249704360962,1.0568687915802002
11,0.5372499823570251,0.0005000000237487257,1.0403650999069214,0.5311874747276306,1.0498127937316895
12,0.538015604019165,0.0005000000237487257,1.0253936052322388,0.5318124890327454,1.0384629964828491
13,0.5421249866485596,0.0005000000237487257,1.0099008083343506,0.534375011920929,1.027206540107727
14,0.5451406240463257,0.0005000000237487257,0.9986139535903931,0.5340625047683716,1.011600136756897
15,0.5465624928474426,0.0005000000237487257,0.9871760010719299,0.5361875295639038,1.011025309562683
16,0.5494218468666077,0.0005000000237487257,0.9776814579963684,0.5374374985694885,1.0085816383361816
17,0.5531718730926514,0.0005000000237487257,0.9675050377845764,0.5418750047683716,0.9957545399665833
18,0.5554531216621399,0.0005000000237487257,0.9568461775779724,0.5446875095367432,0.9823869466781616
19,0.5620625019073486,0.0005000000237487257,0.94424968957901,0.5442500114440918,0.9854778051376343
20,0.5649687647819519,0.0005000000237487257,0.9334384202957153,0.5481250286102295,0.9614911079406738
21,0.5680781006813049,0.0005000000237487257,0.9226633310317993,0.5501875281333923,0.9505385160446167
22,0.5734687447547913,0.0005000000237487257,0.9088734984397888,0.551687479019165,0.9447149038314819
23,0.5755468606948853,0.0005000000237487257,0.9034581184387207,0.5536875128746033,0.937653124332428
24,0.5807031393051147,0.0005000000237487257,0.8961427807807922,0.5574374794960022,0.9320986866950989
25,0.5792499780654907,0.0005000000237487257,0.8906441330909729,0.5618125200271606,0.9264242053031921
26,0.5835468769073486,0.0005000000237487257,0.88094162940979,0.5620625019073486,0.9269683361053467
27,0.5859531164169312,0.0005000000237487257,0.8766764998435974,0.5648750066757202,0.924540638923645
28,0.5899531245231628,0.0005000000237487257,0.8678621053695679,0.5653125047683716,0.920930027961731
29,0.5960937738418579,0.0005000000237487257,0.8587331175804138,0.5668749809265137,0.9231239557266235
