snr,accuracy
-20,0.352
-18,0.347
-16,0.347
-14,0.343
-12,0.344
-10,0.323
-8,0.307
-6,0.308
-4,0.41
-2,0.599
0,0.706
2,0.766
4,0.78
6,0.784
8,0.791
10,0.775
12,0.807
14,0.779
16,0.777
18,0.793
